url,obraz,nazwa,cena,rok,przebieg,pojemnosc,rodzaj
https://www.otomoto.pl/oferta/audi-a4-a4-b7-cabrio-225tkm-udokumentowane-skora-xenon-navi-lodowka-w-schowk-ID6FrIoZ.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InoxbjllOGVxNzNhcC1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.4SxZk4OTw0zTzG453K84ijFJ7ne8-OJUf7-XBlp4_og/image%3Bs=320x240,Audi A4 2.0 TDI DPF Multitronic,19 999 PLN,2007,225 000 km,1 968 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a3-audi-a3-ii-8p-1-9tdi-105ps-klima-sportback-ID6Fs5vl.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFsN29xeXU1ZTQ1cTEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.BW0s40pTRm9OFtZvDVEW-HuBG0ucm8qGCMHlFNjY2F0/image%3Bs=320x240,Audi A3 1.9 TDI Ambiente,19 900 PLN,2006,224 000 km,1 896 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a4-audi-a4-3-0-quattro-ID6FrviH.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNqcmMwNTE2c3pjYjItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.dmVNVGeLbWA6NDI-9XmLhGhuErPAAP_SP82LUyTSb9o/image%3Bs=320x240,Audi A4 Avant 3.0 TDI Quattro Tiptr,21 700 PLN,2005,219 000 km,2 967 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a3-audi-a3-1-6-mpi-grzane-fotele-kubelki-climatronic-pelny-serwis-ID6FqcA0.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inp3Y2drYnQxdGh0MS1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.IoY_Mg8JcttE4X8yva-X8rvWk5kTlXlSozoUBcdcjrM/image%3Bs=320x240,Audi A3 1.6 Ambition,17 900 PLN,2006,240 000 km,1 595 cm3,Benzyna
https://www.otomoto.pl/oferta/audi-a3-audi-a3-8p-1-6-mpi-z-lpg-ID6Fs6Ff.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InI5ZTUwZGVkbGxocjMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.XBEoX5fDayaUniPcavj9Y9tLL2Mhnh_LkVuekKouXfY/image%3Bs=320x240,Audi A3 1.6 Ambiente,15 900 PLN,2006,238 483 km,1 595 cm3,Benzyna+LPG
https://www.otomoto.pl/oferta/audi-a3-1-9-tdi-nawigacja-ID6Fqjxh.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjR3NWMxc3FkZ2JndTEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.w0T2MwUOmHgdRsGuaq1jHbKsZhCLcT7Baq_9YToNrdo/image%3Bs=320x240,Audi A3 1.9 TDI Ambition,20 700 PLN,2007,235 000 km,1 896 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a3-audi-a31-6-benzyna-102km2005rok-ID6FpV8Y.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImYzYm1sY2VxbXBtcjEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.EUJwIkbVrPxOSRQq9ND7CMfVcb6pi1kmCbTCKv1y_jw/image%3Bs=320x240,Audi A3 1.6 Attraction,14 900 PLN,2005,218 700 km,1 595 cm3,Benzyna
https://www.otomoto.pl/oferta/audi-a3-sline-ID6FqkCn.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjlmcHFmb3RzMXpzZy1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.B4B45TbfV5pmNWa28d4V0rsWtSdMproHwRUo1k-ULLg/image%3Bs=320x240,Audi A3 Cabriolet 2.0 TDI DPF S Line Sportpaket (plus),38 900 PLN,2008,231 000 km,1 968 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a4-audi-a4-b7-2-0tdi-170km-s-line-ID6FrtBW.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdmN2ljNDM3enZhZjEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.2ho2BLw0UDd66tZoL2clOOyAbazwilTfFA0LSWQB2jc/image%3Bs=320x240,Audi A4 Avant 2.0 TDI DPF,22 000 PLN,2006,225 000 km,1 968 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a3-audi-a3-8p-quattro-s-line-170km-ID6FrGyr.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjgzZXZkN2luZW1wYzMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.E5KITcSnOTy3xs19XIKv1SI60JenLQWqN-ysPmNdOtw/image%3Bs=320x240,Audi A3 2.0 TDI DPF quattro S line Sportpaket,22 000 PLN,2007,236 000 km,1 968 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a4-1-9tdi-115-km-ladna-z-belgii-ID6Fqprz.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVtNXBhaWxncmFyZjItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.273AwV0yTjpkJmg81ARFpVH22X5wE7eQCm0uw71J9oE/image%3Bs=320x240,Audi A4 Avant 1.9 TDI,17 900 PLN,2005,237 000 km,1 896 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a4-audi-a4-b7-nowy-rozrzad-bogate-wyposazenie-ID6Fs2Me.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImIwcGh5M2h1bDB5ODMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.bDgNE9pqqWcZ1lMIWf8NwnVqB_wdY0n1amrMPf6lUas/image%3Bs=320x240,Audi A4 Avant 2.0 TDI Multitronic,23 000 PLN,2007,213 000 km,1 968 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a4-b7-2-0-200km-2x-s-line-rnse-ID6FrSkP.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImpqNGtkOHM4aGM0cjMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.gBV0YSLykRMwuhl6WtCZK_MsqfrbirN3VJDENJn-uxs/image%3Bs=320x240,Audi A4 2.0T FSI,22 000 PLN,2007,235 000 km,1 984 cm3,Benzyna
https://www.otomoto.pl/oferta/audi-a3-ksiazka-serwisowa-ID6FsciS.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRmdXI2aWg3ZHMwOTEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.w1q31wtAdjuaVJNd3glwrze3kQxck3rPR_foGAoSPS0/image%3Bs=320x240,Audi A3 1.6 Attraction,19 900 PLN,2006,233 000 km,1 595 cm3,Benzyna
https://www.otomoto.pl/oferta/audi-a4-quattro-s-line-ID6FqxuS.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRhN295YXhjMW9ydC1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.PvNWixKZ7j_fn74fzJxUZUDMbOz2ghshTZS-5UBlBPU/image%3Bs=320x240,Audi A4,26 500 PLN,2008,228 351 km,2 967 cm3,Diesel
https://www.otomoto.pl/oferta/audi-a4-audi-a4-b8-2008-r-polecam-ID6FrBUx.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImhlOGQ1Zjg3ZXlnODEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.cn9Hh8nERXLI78CAFklKWtvumIIunx07_tZzmKijTAM/image%3Bs=320x240,Audi A4 2.0 TDI,27 800 PLN,2008,232 000 km,1 968 cm3,Diesel
